time,population,Conc
0,R,1e6
1,R,0.9999095359300532
2,R,0.9999181612652154
3,R,0.999925974146189
4,R,0.9999330557884549
5,R,0.999939481557017
6,R,0.9999453224123831
7,R,0.9999506466490748
8,R,0.9999555220968502
9,R,0.9999600190415234
10,R,0.9999642142406889
11,R,0.9999681965843648
12,R,0.9999720752105017
13,R,0.9999759912705048
14,R,0.9999801351064458
15,R,0.9999847714396958
16,R,0.9999902764088356
17,R,0.999997192126361
18,R,1.0000063071235001
19,R,1.0000187750319653
20,R,1.0000362897635324
21,R,1.0000613441345703
22,R,1.0000976116893883
23,R,1.0001505104852522
24,R,1.0002280355145032
25,R,1.0003419876304689
26,R,1.0005097874987932
27,R,1.0007571525548282
28,R,1.0011220459712524
29,R,1.0016604980358976
30,R,1.0024551812960292
31,R,1.0036280253626766
32,R,1.0053587372404085
33,R,1.007911915799405
34,R,1.0116765797022325
35,R,1.0172234308164112
36,R,1.0253869339292452
37,R,1.0373814515831359
38,R,1.0549620529282273
39,R,1.0806364311765853
40,R,1.117936421007043
41,R,1.1717140936683965
42,R,1.2484025465437163
43,R,1.35606937732943
44,R,1.5039631908320585
45,R,1.7011322155325257
46,R,1.953773514832087
47,R,2.2615433047745817
48,R,2.6142146859559325
49,R,2.991078549893862
50,R,3.3648982576131905
51,R,3.7092920363906496
52,R,4.0056414917812155
53,R,4.246034130307808
54,R,4.4318801070057905
55,R,4.570265702615789
56,R,4.67047135631897
57,R,4.741586846742472
58,R,4.791315194187478
59,R,4.8257417261537094
60,R,4.849412043856324
61,R,4.865602901533799
62,R,4.8766336819497536
63,R,4.884139227627741
64,R,4.889237459817948
65,R,4.892698679065914
66,R,4.89504895349623
67,R,4.896639967682593
68,R,4.897717596180288
69,R,4.898447679332343
70,R,4.898942525426804
71,R,4.899276408511763
72,R,4.899503397561147
73,R,4.899656747378561
74,R,4.899760271569773
75,R,4.899830380120859
76,R,4.899877924436391
77,R,4.899910067526401
78,R,4.8999317248102106
79,R,4.899946248005003
80,R,4.899956059199175
81,R,4.899962528855391
82,R,4.899967213152488
83,R,4.899969576612993
84,R,4.899972000258592
85,R,4.899973335179659
86,R,4.8999742579021826
87,R,4.899974880608924
88,R,4.899975293435498
89,R,4.8999755125629125
90,R,4.8999756680574675
91,R,4.899975777968711
92,R,4.899975855264073
93,R,4.899975909256445
94,R,4.899975946631021
95,R,4.899975972183926
96,R,4.899975989353447
97,R,4.899976000602133
98,R,4.899976007691556
99,R,4.899976011879913
100,R,4.899976014064084
0,N,100
1,N,1000089.4721638234
2,N,1000080.8453508546
3,N,1000073.0312596961
4,N,1000065.9486259527
5,N,1000059.5220444669
6,N,1000053.6805217083
7,N,1000048.3557359001
8,N,1000043.4798347794
9,N,1000038.982513691
10,N,1000034.7869992501
11,N,1000030.8043880223
12,N,1000026.9255306086
13,N,1000023.0092659967
14,N,1000018.8652447938
15,N,1000014.228742253
16,N,1000008.7236246861
17,N,1000001.8078029394
18,N,999992.6928106669
19,N,999980.2251740055
20,N,999962.7113455137
21,N,999937.6593290581
22,N,999901.3974027782
23,N,999848.5115286929
24,N,999771.0155401491
25,N,999657.1279116247
26,N,999489.4702292967
27,N,999242.4173074381
28,N,998878.2072042674
29,N,998341.2481567694
30,N,997549.8222717465
31,N,996384.0754960398
32,N,994668.8050263796
33,N,992149.160672668
34,N,988457.1443015276
35,N,983067.1341872796
36,N,975240.5067930998
37,N,963964.4075024984
38,N,947900.4367954105
39,N,925379.236435025
40,N,894503.8467943355
41,N,853448.9841835625
42,N,801021.957108302
43,N,737423.4558184745
44,N,664907.6178588329
45,N,587841.50304327
46,N,511827.88065684855
47,N,442173.4724932334
48,N,382521.8385106896
49,N,334325.6598516709
50,N,297183.72815165884
51,N,269591.16326300224
52,N,249646.36328851886
53,N,235512.47772342083
54,N,225636.5388973018
55,N,218804.4199986009
56,N,214109.96885157103
57,N,210898.71641983296
58,N,208709.87083826977
59,N,207220.91299676005
60,N,206209.68214509342
61,N,205523.6901759572
62,N,205058.46819646237
63,N,204743.35603333995
64,N,204529.86364454747
65,N,204385.17465362122
66,N,204287.04487761867
67,N,204220.66871134844
68,N,204175.7338818514
