time,population,Conc
0,R,1e6
1,R,0.999909526016168
2,R,0.9999181532569988
3,R,0.9999259532312226
4,R,0.9999330316138544
5,R,0.9999394054387936
6,R,0.999945165572253
7,R,0.9999503789889593
8,R,0.9999550985585605
9,R,0.9999593701926621
10,R,0.9999632356959411
11,R,0.9999667332975007
12,R,0.9999698983507566
13,R,0.9999727626721987
14,R,0.9999753548958276
15,R,0.9999777004188612
16,R,0.999979822562895
17,R,0.9999817426660613
18,R,0.9999834800079547
19,R,0.9999850520455242
20,R,0.9999864746165851
21,R,0.9999877618521797
22,R,0.9999889263606516
23,R,0.9999899801727321
24,R,0.9999909336956085
25,R,0.9999917964817423
26,R,0.9999925771620004
27,R,0.9999932835496372
28,R,0.9999939227147531
29,R,0.9999945010546458
30,R,0.9999950243576486
31,R,0.9999954978611724
32,R,0.999995926304241
33,R,0.9999963139749425
34,R,0.9999966647533225
35,R,0.9999969821501895
36,R,0.9999972693422483
37,R,0.9999975292038971
38,R,0.999997764336
39,R,0.9999979770919157
40,R,0.9999981696010516
41,R,0.9999983437901729
42,R,0.9999985014026873
43,R,0.9999986440160928
44,R,0.9999987730577681
45,R,0.9999988898192564
46,R,0.9999989954691941
47,R,0.9999990910650037
48,R,0.9999991775634802
49,R,0.9999992558303659
50,R,0.9999993266490157
51,R,0.999999390728237
52,R,0.9999994487093837
53,R,0.9999995011727766
54,R,0.9999995486435103
55,R,0.9999995915967081
56,R,0.9999996304622804
57,R,0.9999996656292235
58,R,0.9999996974495162
59,R,0.9999997262416412
60,R,0.9999997522937735
61,R,0.9999997758675834
62,R,0.999999797196232
63,R,0.999999816495056
64,R,0.9999998339551248
65,R,0.9999998497767796
66,R,0.9999998640468934
67,R,0.9999998770033737
68,R,0.9999998892662338
69,R,0.9999998993329391
70,R,0.9999999084844893
71,R,0.9999999168040804
72,R,0.9999999243673454
73,R,0.9999999312430409
74,R,0.999999937493673
75,R,0.9999999431760661
76,R,0.999999948341878
77,R,0.9999999530380705
78,R,0.9999999573073367
79,R,0.9999999611884878
80,R,0.9999999647168069
81,R,0.99999996792437
82,R,0.9999999708403363
83,R,0.9999999734912148
84,R,0.9999999759011041
85,R,0.9999999780919128
86,R,0.9999999800835572
87,R,0.9999999818941427
88,R,0.9999999835401299
89,R,0.9999999850364816
90,R,0.9999999863968013
91,R,0.9999999876334559
92,R,0.9999999887576871
93,R,0.9999999897797154
94,R,0.9999999907088323
95,R,0.999999991553484
96,R,0.999999992321349
97,R,0.9999999930194082
98,R,0.9999999936540074
99,R,0.9999999942309159
100,R,0.999999994755378
0,N,100
1,N,1000089.4820794121
2,N,1000080.8533603766
3,N,1000073.0521823084
4,N,1000065.9728021664
5,N,1000059.5981750729
6,N,1000053.8373783403
7,N,1000048.623417958
8,N,1000043.9034126408
9,N,1000039.6314221653
10,N,1000035.7656183494
11,N,1000032.2677713376
12,N,1000029.1025260405
13,N,1000026.2380488259
14,N,1000023.645682921
15,N,1000021.3000408601
16,N,1000019.1778292991
17,N,1000017.2576791947
18,N,1000015.5202407358
19,N,1000013.9481026027
20,N,1000012.5255627716
21,N,1000011.2384059847
22,N,1000010.0737459478
23,N,1000009.019919384
24,N,1000008.0663772328
25,N,1000007.2035773495
26,N,1000006.4228856756
27,N,1000005.7164887564
28,N,1000005.0773161022
29,N,1000004.4989700931
30,N,1000003.9756621323
31,N,1000003.502154594
32,N,1000003.07370828
33,N,1000002.6860349578
34,N,1000002.3352544656
35,N,1000002.0178558995
36,N,1000001.7306624772
37,N,1000001.4707997366
38,N,1000001.2356667623
39,N,1000001.022910153
40,N,1000000.830400468
41,N,1000000.6562109137
42,N,1000000.49859806
43,N,1000000.3559843899
44,N,1000000.2269425103
45,N,1000000.1101808656
46,N,1000000.0045308104
47,N,999999.9089349136
48,N,999999.8224363739
49,N,999999.7441694437
50,N,999999.6733507643
51,N,999999.6092715249
52,N,999999.5512903688
53,N,999999.4988269731
54,N,999999.4513562422
55,N,999999.4084030502
56,N,999999.3695374868
57,N,999999.3343705541
58,N,999999.3025502728
59,N,999999.2737581597
60,N,999999.24770604
61,N,999999.2241322426
62,N,999999.2028036063
63,N,999999.1835047941
64,N,999999.1660447367
65,N,999999.1502230926
66,N,999999.1359529893
67,N,999999.1229965185
68,N,999999.1107336673
69,N,999999.1006669704
70,N,999999.0915154276
71,N,999999.0831958432
72,N,999999.0756325846
73,N,999999.0687568951
74,N,999999.0625062684
75,N,999999.0568238804
76,N,999999.0516580731
77,N,999999.0469618847
78,N,999999.0426926224
79,N,999999.0388114749
80,N,999999.035283159
81,N,999999.0320755991
82,N,999999.0291596354
83,N,999999.0265087596
84,N,999999.0240988723
85,N,999999.0219080658
86,N,999999.0199164234
87,N,999999.0181058395
88,N,999999.0164598541
89,N,999999.0149635038
90,N,999999.0136031852
91,N,999999.012366532
92,N,999999.0112423019
93,N,999999.0102202743
94,N,999999.0092911584
95,N,999999.0084465076
96,N,999999.0076786433
97,N,999999.0069805848
98,N,999999.0063459863
99,N,999999.0057690784
100,N,999999.0052446167
