time,population,Conc
0,R,1e6
1,R,1.009420726897569
2,R,1.0180188847769822
3,R,1.0257683559027888
4,R,1.03274099849401
5,R,1.039005072929166
6,R,1.0446248270291036
7,R,1.0496603091334555
8,R,1.0541672804786886
9,R,1.0581972389840892
10,R,1.0617975143020122
11,R,1.0650114290817592
12,R,1.0678784994085682
13,R,1.0704346630763057
14,R,1.0727125255694143
15,R,1.074741616206788
16,R,1.0765486495208676
17,R,1.0781577893985763
18,R,1.0795909159135693
19,R,1.0808678973545225
20,R,1.0820068728819388
21,R,1.0830245548345343
22,R,1.0839365643201897
23,R,1.0847578199662857
24,R,1.0855030082230335
25,R,1.0861871754977284
26,R,1.086826499073663
27,R,1.0874393173516383
28,R,1.0880475329805759
29,R,1.0886785491785955
30,R,1.089367965701645
31,R,1.0901633516988387
32,R,1.0911295457117482
33,R,1.0923561061645262
34,R,1.0939677904030982
35,R,1.0961392691556409
36,R,1.099115734866826
37,R,1.1032416371322646
38,R,1.1090004764836514
39,R,1.117069362214214
40,R,1.1283927461651178
41,R,1.1442795541227053
42,R,1.1665279376202504
43,R,1.1975747836946564
44,R,1.2406598547327063
45,R,1.2999672270514673
46,R,1.3806812653543725
47,R,1.4888364090790336
48,R,1.63075789257399
49,R,1.8119440712082016
50,R,2.035308449564864
51,R,2.299096717948625
52,R,2.5952942602684983
53,R,2.9096716607350133
54,R,3.2241259604555093
55,R,3.5207225064406678
56,R,3.7856281322989087
57,R,4.01126177015252
58,R,4.196143385874875
59,R,4.343234509002739
60,R,4.457894098802394
61,R,4.54617823925415
62,R,4.613802316275389
63,R,4.665644030124207
64,R,4.7056126204257875
65,R,4.736727278070933
66,R,4.761253190924379
67,R,4.780862380014274
68,R,4.796775174139312
69,R,4.809884394064833
70,R,4.820839966861086
71,R,4.8301132668508275
72,R,4.838050647857826
73,R,4.844911072487593
74,R,4.850888534942065
75,R,4.85613528382198
76,R,4.8607558332027105
77,R,4.864855569024213
78,R,4.868496075735522
79,R,4.871738615877455
80,R,4.87463346072671
81,R,4.877221924865059
82,R,4.879539433760502
83,R,4.881616579662581
84,R,4.883479376870888
85,R,4.885150716608848
86,R,4.886650989106864
87,R,4.887998256019626
88,R,4.8892084974006265
89,R,4.890295870379707
90,R,4.891272968798022
91,R,4.89215109175382
92,R,4.8929403909314955
93,R,4.893649932120325
94,R,4.8942877925070025
95,R,4.8948612294042135
96,R,4.895376787884791
97,R,4.895840322156611
98,R,4.896257087121439
99,R,4.896631837768921
100,R,4.896968802330831
0,N,100
1,N,990666.105213055
2,N,982298.9688187287
3,N,974877.8990999297
4,N,968295.919813025
5,N,962458.1478290744
6,N,957280.4278028277
7,N,952688.116954363
8,N,948615.0082163509
9,N,945002.3747065708
10,N,941798.1213175115
11,N,938956.031204681
12,N,936435.0959537404
13,N,934198.9193186195
14,N,932215.1853027077
15,N,930455.1820095987
16,N,928893.3731460402
17,N,927507.0091768994
18,N,926275.7699700153
19,N,925181.4301536126
20,N,924207.5372156604
21,N,923339.0904096816
22,N,922562.2055185584
23,N,921863.7460156957
24,N,921230.8946170736
25,N,920650.6298202468
26,N,920109.0586197061
27,N,919590.5376406005
28,N,919076.4883835067
29,N,918543.7754246247
30,N,917962.4651997003
31,N,917292.7154031155
32,N,916480.4509417203
33,N,915451.3698009424
34,N,914102.6785480115
35,N,912291.8106495455
36,N,909821.262934975
37,N,906418.6986336632
38,N,901711.807076458
39,N,895198.4749809756
40,N,886215.1846549
41,N,873911.112048179
42,N,857243.4491544797
43,N,835019.586483734
44,N,806021.9816232454
45,N,769249.7287158035
46,N,724278.4426599152
47,N,671663.6299272885
48,N,613209.8354795497
49,N,551891.2655867971
50,N,491323.62094059755
51,N,434950.99086026143
52,N,385310.5681785465
53,N,343679.2836435113
54,N,310159.6124280018
55,N,284030.82261539734
56,N,264155.32625243993
57,N,249296.5331175414
58,N,238312.65873298663
59,N,230241.77273959442
60,N,224319.9410448267
61,N,219963.80650520432
62,N,216739.8378955187
63,N,214331.57867878326
64,N,212511.00722614498
65,N,211115.18651540935
66,N,210027.72067615934
67,N,209166.26024110412
68,N,208472.36380620147
69,N,207904.1900245726
70,N,207431.719481635
71,N,207033.4658419626
72,N,206693.81084833026
73,N,206401.15491688607
74,N,206146.78868763862
75,N,205924.14244601398
76,N,205728.18193962728
77,N,205554.94040509177
78,N,205401.233171718
79,N,205264.52193324108
80,N,205142.62378026443
81,N,205033.7495776692
82,N,204936.36977022947
83,N,204849.16873139757
84,N,204771.0293242074
85,N,204700.97154931058
86,N,204638.12557494128
87,N,204581.7217272552
88,N,204531.08097491422
89,N,204485.60285256576
90,N,204444.75415139648
91,N,204408.05704860314
92,N,204375.08317661655
93,N,204345.45052296726
94,N,204318.81861336046
95,N,204294.88232746068
96,N,204273.3672256699
97,N,204254.0268538729
98,N,204236.64043651827
99,N,204221.01007574212
100,N,204206.95797201755
0,S,1
1,S,9424.262339851886
2,S,17782.677556470997
3,S,25195.84840747907
4,S,31770.669530422598
5,S,37601.94875993024
6,S,42773.771243459676
7,S,47360.713295657966
8,S,51428.9176470006
9,S,55037.04699272439
10,S,58237.129864377595
11,S,61075.31078155944
12,S,63592.515535848615
13,S,65825.04119489763
14,S,67805.07931909905
15,S,69561.17992391436
16,S,71118.66282861406
17,S,72499.98230091354
18,S,73725.05019659633
19,S,74811.5221702635
20,S,75775.0509718466
21,S,76629.51032500016
22,S,77387.19239332939
23,S,78058.98135315524
24,S,78654.50513146912
25,S,79182.26685633411
26,S,79649.7570086217
27,S,80063.54661393313
28,S,80429.36101686454
29,S,80752.13276789835
30,S,81036.0308172242
31,S,81284.46150520837
32,S,81500.03441950119
33,S,81684.48325463291
34,S,81838.52772124576
35,S,81961.6576834051
36,S,82051.81493594886
37,S,82104.94230822567
38,S,82114.36607739198
39,S,82069.9813729328
40,S,81957.22680980292
41,S,81755.88714313465
42,S,81438.85939669819
43,S,80971.20650268138
44,S,80310.07542009388
45,S,79406.35048099769
46,S,78209.00982392533
47,S,76672.7628426291
48,S,74768.21875398594
49,S,72492.00027813487
50,S,69872.93371494174
51,S,66970.91550872459
52,S,63868.33285489289
53,S,60656.93750277335
54,S,57425.24685087704
55,S,54249.19380303353
56,S,51187.67385165128
57,S,48281.99153425626
58,S,45557.79292398229
59,S,43028.07479359029
60,S,40696.32745349633
61,S,38559.33855118042
62,S,36609.45103687681
63,S,34836.290821295224
64,S,33228.01137618741
65,S,31772.167489419324
66,S,30456.32190040421
67,S,29268.389965660357
68,S,28196.884715710257
69,S,27231.055331168296
70,S,26360.937005921434
71,S,25577.354954048664
72,S,24871.915713493338
73,S,24236.976232267007
