time,population,Conc
0,R,1e6
1,R,1.0094652469874597
2,R,1.0181686056297736
3,R,1.0260472994593732
4,R,1.0331521260513714
5,R,1.0395423207093801
6,R,1.0452771274445385
7,R,1.05041703826384
8,R,1.0550177964288747
9,R,1.0591315062626205
10,R,1.0628063951717168
11,R,1.0660866432114477
12,R,1.0690119749802842
13,R,1.0716196269032972
14,R,1.0739427319534642
15,R,1.076011147053944
16,R,1.077851987450033
17,R,1.0794896267710394
18,R,1.0809459745976322
19,R,1.0822406768328143
20,R,1.0833913541320301
21,R,1.0844137682998545
22,R,1.0853220115880318
23,R,1.0861286715731213
24,R,1.0868449826329756
25,R,1.087480964327761
26,R,1.0880455461092764
27,R,1.0885466814380853
28,R,1.08899145122437
29,R,1.0893861566609462
30,R,1.0897364027995
31,R,1.0900471736281085
32,R,1.0903228994746246
33,R,1.090567517491475
34,R,1.0907845257018451
35,R,1.090977031270364
36,R,1.0911477936392897
37,R,1.0912992629724356
38,R,1.0914336145957138
39,R,1.0915527797354807
40,R,1.0916584719907338
41,R,1.0917522126526518
42,R,1.0918353514362205
43,R,1.0919090860930096
44,R,1.0919744793268087
45,R,1.0920324739727472
46,R,1.0920839064755632
47,R,1.0921295188525788
48,R,1.0921699693260334
49,R,1.0922058417621496
50,R,1.0922376540521195
51,R,1.092265865552677
52,R,1.0922908836906329
53,R,1.0923130698246881
54,R,1.0923327444474054
55,R,1.0923501918012604
56,R,1.0923656639745036
57,R,1.0923793845347476
58,R,1.0923915517539566
59,R,1.092402341469886
60,R,1.09241190961674
61,R,1.0924203944851625
62,R,1.0924279187112647
63,R,1.0924345910511366
64,R,1.0924405079501094
65,R,1.0924457549360345
66,R,1.09245040785476
67,R,1.092454533965877
68,R,1.0924581929145312
69,R,1.092461437593285
70,R,1.092464314906472
71,R,1.0924668664480548
72,R,1.0924691291027797
73,R,1.0924711355792913
74,R,1.0924729148829122
75,R,1.0924744927349084
76,R,1.0924758919442965
77,R,1.0924771327375604
78,R,1.092478233051052
79,R,1.0924792087902948
80,R,1.0924800740598692
81,R,1.092480841367393
82,R,1.092481521804284
83,R,1.0924821252061359
84,R,1.0924826602949043
85,R,1.092483134804998
86,R,1.0924835555950996
87,R,1.0924839287473198
88,R,1.0924842596551276
89,R,1.0924845531013228
90,R,1.092484813327181
91,R,1.0924850440937677
92,R,1.0924852487363137
93,R,1.092485430212428
94,R,1.092485591144857
95,R,1.0924857338593994
96,R,1.0924858604185255
97,R,1.0924859726511968
98,R,1.0924860721793035
99,R,1.0924861604411082
100,R,1.0924862387120386
0,N,100
1,N,990622.4134278628
2,N,982154.5209008598
3,N,974612.8869834185
4,N,967910.6189073604
5,N,961961.2126468995
6,N,956683.1056397959
7,N,952001.7870932668
8,N,947850.2678983647
9,N,944168.7774214523
10,N,940904.1706660173
11,N,938009.2667148365
12,N,935442.2075316915
13,N,933165.8681295974
14,N,931147.3255743223
15,N,929357.384002719
16,N,927770.153671904
17,N,926362.6789522135
18,N,925114.6033522481
19,N,924007.8730886474
20,N,923026.4784942328
21,N,922156.2246289293
22,N,921384.5253809337
23,N,920700.2198674835
24,N,920093.4105585787
25,N,919555.3206922967
26,N,919078.1677724635
27,N,918655.0508768267
28,N,918279.8505545325
29,N,917947.140260605
30,N,917652.1079938648
31,N,917390.4867760402
32,N,917158.4929001994
33,N,916952.7711478125
34,N,916770.3462544028
35,N,916608.5799028715
36,N,916465.1325769759
37,N,916337.9297146472
38,N,916225.1316918068
39,N,916125.107215087
40,N,916036.4097331321
41,N,915957.75651656
42,N,915888.0101033495
43,N,915826.1618455084
44,N,915771.3173210538
45,N,915722.6833989169
46,N,915679.5567680964
47,N,915641.3137652309
48,N,915607.4013542827
49,N,915577.329128153
50,N,915550.6622162279
51,N,915527.0149950094
52,N,915506.0455109101
53,N,915487.4505346905
54,N,915470.9611760469
55,N,915456.3389948582
56,N,915443.3725528088
57,N,915431.8743555167
58,N,915421.67814096855
59,N,915412.6364750459
60,N,915404.618619357
61,N,915397.5086405283
62,N,915391.2037336116
63,N,915385.612735361
64,N,915380.6548058792
65,N,915376.2582595646
66,N,915372.3595284487
67,N,915368.9022429301
68,N,915365.8364166138
69,N,915363.1177234616
70,N,915360.7068568041
71,N,915358.5689609408
72,N,915356.6731271078
73,N,915354.9919465242
74,N,915353.5011140541
75,N,915352.1790767511
76,N,915351.0067222023
77,N,915349.9671021652
78,N,915349.0451875012
79,N,915348.2276508608
80,N,915347.5026739762
81,N,915346.8597767799
82,N,915346.2896658701
83,N,915345.7841001383
84,N,915345.3357716129
85,N,915344.9381997955
86,N,915344.5856379627
87,N,915344.2729900781
88,N,915343.9957371131
89,N,915343.749871711
90,N,915343.5318402498
91,N,915343.3384914645
92,N,915343.1670308887
93,N,915343.0149804538
94,N,915342.8801426638
95,N,915342.7605688269
96,N,915342.6545308828
97,N,915342.5604964223
98,N,915342.4771065337
99,N,915342.4031561589
100,N,915342.3375766728
0,I1,1
1,I1,6031.014871361286
2,I1,7984.71128223066
3,I1,8587.03898270798
4,I1,8744.843192334401
5,I1,8759.458678714387
6,I1,8730.684070023784
7,I1,8691.26550736588
8,I1,8651.679486856503
9,I1,8615.033848372532
10,I1,8582.024820249564
11,I1,8552.582634097675
12,I1,8526.41776087723
13,I1,8503.19675445723
14,I1,8482.599097809321
15,I1,8464.332211734089
16,I1,8448.133295437385
17,I1,8433.76853471147
18,I1,8421.030573114758
19,I1,8409.735307682764
20,I1,8399.719230566521
21,I1,8390.83736801638
22,I1,8382.961317403948
23,I1,8375.977249513471
24,I1,8369.784142714207
25,I1,8364.292374492406
26,I1,8359.422510889322
27,I1,8355.10414819384
28,I1,8351.274840951488
29,I1,8347.879191069764
30,I1,8344.868077082656
31,I1,8342.19795603903
32,I1,8339.830218462803
33,I1,8337.730618687368
34,I1,8335.86878590865
35,I1,8334.21779321543
36,I1,8332.753766322423
37,I1,8331.455532820775
38,I1,8330.304315708252
39,I1,8329.283465022298
40,I1,8328.378217944097
41,I1,8327.575483558801
42,I1,8326.863652544884
43,I1,8326.232430067861
44,I1,8325.672687663773
45,I1,8325.17633091389
46,I1,8324.736181829085
47,I1,8324.345875083256
48,I1,8323.999766293744
49,I1,8323.692850439797
50,I1,8323.420689280736
51,I1,8323.179347087393
52,I1,8322.965333820055
53,I1,8322.775554725617
54,I1,8322.607265536935
55,I1,8322.458032729732
56,I1,8322.32569834085
57,I1,8322.208348795328
58,I1,8322.104287233047
59,I1,8322.012008946927
60,I1,8321.930179615947
61,I1,8321.857616020061
62,I1,8321.793268935235
63,I1,8321.736207954358
64,I1,8321.685608026819
65,I1,8321.640737529116
66,I1,8321.600947688317
67,I1,8321.565663199644
68,I1,8321.534373904584
69,I1,8321.506627413104
70,I1,8321.482022563021
71,I1,8321.460203619421
72,I1,8321.44085512984
73,I1,8321.423697362152
74,I1,8321.408482259807
75,I1,8321.394989855247
76,I1,8321.383025089059
77,I1,8321.372414989166
78,I1,8321.36300616967
79,I1,8321.354662613072
80,I1,8321.347263703561
81,I1,8321.340702482908
82,I1,8321.334884103868
83,I1,8321.32972445881
84,I1,8321.325148963657
85,I1,8321.321091479454
86,I1,8321.317493356077
87,I1,8321.31430258424
88,I1,8321.311473043543
89,I1,8321.308963835652
90,I1,8321.306738693
91,I1,8321.304765454415
92,I1,8321.303015600166
93,I1,8321.301463839634
94,I1,8321.300087745689
95,I1,8321.298867430445
96,I1,8321.297785257755
97,I1,8321.296825588242
98,I1,8321.295974553224
99,I1,8321.295219854217
100,I1,8321.29455058514
0,I2,1
1,I2,2478.3453375895283
2,I2,5287.954744369599
3,I2,6853.396142620782
4,I2,7557.074514736747
5,I2,7827.927840079787
6,I2,7908.834083998083
7,I2,7913.664813974104
8,I2,7891.044949921365
9,I2,7860.490591526203
10,I2,7829.389861349287
11,I2,7800.306541074517
12,I2,7773.959114511416
13,I2,7750.389813681181
14,I2,7729.414163497161
15,I2,7710.788355819685
16,I2,7694.262349848576
17,I2,7679.603068995632
18,I2,7666.6027169640365
19,I2,7655.075484296862
20,I2,7644.8540982726945
21,I2,7635.7895945322625
22,I2,7627.7510238282
23,I2,7620.622929534151
24,I2,7614.302402079804
25,I2,7608.697628513463
26,I2,7603.727353879602
27,I2,7599.319898957192
28,I2,7595.4116979383425
29,I2,7591.946150841869
30,I2,7588.873006348014
31,I2,7586.147829687783
32,I2,7583.731289261986
33,I2,7581.58844987796
34,I2,7579.688273945168
35,I2,7578.003258694965
36,I2,7576.509057347196
37,I2,7575.18407923274
38,I2,7574.009153200982
39,I2,7572.967273135317
40,I2,7572.043372939873
41,I2,7571.224100200996
42,I2,7570.497607974446
43,I2,7569.853384617459
44,I2,7569.282111330359
45,I2,7568.775529181263
46,I2,7568.326314250426
47,I2,7567.927969168473
48,I2,7567.574731797655
49,I2,7567.2614941507245
50,I2,7566.983727477108
51,I2,7566.737415103739
52,I2,7566.518994544508
53,I2,7566.325307051511
54,I2,7566.153552089115
55,I2,7566.001246211387
56,I2,7565.866186885919
57,I2,7565.746420953563
58,I2,7565.640216623092
59,I2,7565.54603829593
60,I2,7565.462524175435
61,I2,7565.388466604865
62,I2,7565.32279472335
63,I2,7565.264558991016
64,I2,7565.212917385594
65,I2,7565.167123199657
66,I2,7565.126514279451
67,I2,7565.090503474825
68,I2,7565.058570131977
69,I2,7565.030252544212
70,I2,7565.0051412800685
71,I2,7564.9828732761525
72,I2,7564.963126587477
73,I2,7564.945615723685
74,I2,7564.930087518259
75,I2,7564.916317472079
76,I2,7564.904106509751
77,I2,7564.8932780989
78,I2,7564.883675695347
79,I2,7564.8751604802055
80,I2,7564.867609354112
81,I2,7564.860913157219
82,I2,7564.854975089856
83,I2,7564.849709312665
84,I2,7564.8450397059605
