time,population,Conc
0,R,1e6
1,R,1.0094207153125236
2,R,1.0180188574260778
3,R,1.0257683103193225
4,R,1.0327409373684642
5,R,1.039004937758385
6,R,1.0446246107587447
7,R,1.0496599957700898
8,R,1.054166826150772
9,R,1.058196564153797
10,R,1.061796527788559
11,R,1.065010014660453
12,R,1.0678764820973603
13,R,1.0704317881824659
14,R,1.072708426141866
15,R,1.0747357677751352
16,R,1.0765403084359486
17,R,1.0781458952844147
18,R,1.0795739562199065
19,R,1.080843721224186
20,R,1.0819724211992627
21,R,1.0829754778517233
22,R,1.0838666816172418
23,R,1.0846583497669575
24,R,1.085361475826822
25,R,1.08598586688268
26,R,1.0865402632157255
27,R,1.087032450679269
28,R,1.087469362442818
29,R,1.0878571704798972
30,R,1.088201362930377
31,R,1.0885068225395675
32,R,1.0887778896688618
33,R,1.0890184223682902
34,R,1.089231848994509
35,R,1.0894212153259908
36,R,1.0895892268208591
37,R,1.0897382862022176
38,R,1.0898705270210993
39,R,1.089987843568166
40,R,1.0900919175021184
41,R,1.090184241562976
42,R,1.0902661406728944
43,R,1.0903387907067912
44,R,1.0904032351845994
45,R,1.0904604001093054
46,R,1.0905111071542923
47,R,1.0905560853806748
48,R,1.090595981639355
49,R,1.0906313698553949
50,R,1.0906627591674662
51,R,1.0906906012842956
52,R,1.0907152969214429
53,R,1.0907372015609822
54,R,1.0907566305471112
55,R,1.0907738636134379
56,R,1.090789148900209
57,R,1.0908027065191763
58,R,1.0908147317169932
59,R,1.090825397682116
60,R,1.090834858035283
61,R,1.090843249039147
62,R,1.0908506915586647
63,R,1.0908572928002909
64,R,1.0908631478548978
65,R,1.0908683410665219
66,R,1.0908729472465855
67,R,1.0908770327510013
68,R,1.0908806564355795
69,R,1.090883870503897
70,R,1.0908867212585123
71,R,1.0908892497683924
72,R,1.09089149246014
73,R,1.0908934816428075
74,R,1.0908952459732566
75,R,1.090896810868976
76,R,1.0908981988742412
77,R,1.0908994299848864
78,R,1.0909005219363748
79,R,1.0909014904593086
80,R,1.0909023495060606
81,R,1.0909031114517858
82,R,1.0909037872727145
83,R,1.0909043867042911
84,R,1.0909049183814388
85,R,1.0909053899629642
86,R,1.0909058082419056
87,R,1.0909061792433992
88,R,1.0909065083114904
89,R,1.0909068001861273
90,R,1.0909070590714478
91,R,1.0909072886963538
92,R,1.090907492368231
93,R,1.090907673020601
94,R,1.090907833255386
95,R,1.0909079753803892
96,R,1.0909081014425464
97,R,1.0909082132574155
98,R,1.0909083124353296
99,R,1.0909084004045997
100,R,1.0909084784320864
0,N,100
1,N,990666.1166311903
2,N,982298.9946853893
3,N,974877.9394788294
4,N,968295.9847057695
5,N,962458.2764597647
6,N,957280.6285684021
7,N,952688.4013209163
8,N,948615.4186483889
9,N,945002.978364207
10,N,941798.9974275257
11,N,938957.2805327643
12,N,936436.8659065671
13,N,934201.4289185735
14,N,932218.7495044521
15,N,930460.2468793263
16,N,928900.571756486
17,N,927517.2430658742
18,N,926290.322566331
19,N,925202.125784043
20,N,924236.9670999935
21,N,923380.934505782
22,N,922621.6894151374
23,N,921948.2885022104
24,N,921351.0256490689
25,N,920821.2920661063
26,N,920351.4523716645
27,N,919934.7345856174
28,N,919565.1324471427
29,N,919237.3187813994
30,N,918946.5687230034
31,N,918688.6916438522
32,N,918459.9707557751
33,N,918257.1095212352
34,N,918077.1841262556
35,N,917917.60133942
36,N,917776.06113931
37,N,917650.5235628162
38,N,917539.17929809
39,N,917440.4236035018
40,N,917352.8331779632
41,N,917275.145647003
42,N,917206.241367309
43,N,917145.1272879374
44,N,917090.9226365846
45,N,917042.8462247549
46,N,917000.2051883743
47,N,916962.3850012702
48,N,916928.8406176937
49,N,916899.0886164048
50,N,916872.7002330975
51,N,916849.2951806355
52,N,916828.536167974
53,N,916810.1240387928
54,N,916793.7934598039
55,N,916779.3090965863
56,N,916766.4622218034
57,N,916755.0677069087
58,N,916744.9613539838
59,N,916735.9975292586
60,N,916728.0470641999
61,N,916720.9953939158
62,N,916714.7409060376
63,N,916709.1934762854
64,N,916704.27316961
65,N,916699.9090881884
66,N,916696.0383496707
67,N,916692.6051809485
68,N,916689.5601143853
69,N,916686.8592749229
70,N,916684.4637477903
71,N,916682.3390177002
72,N,916680.4544714509
73,N,916678.7829567655
74,N,916677.3003910081
75,N,916675.9854141402
76,N,916674.8190809125
77,N,916673.7845878591
78,N,916672.8670311567
79,N,916672.0531918601
80,N,916671.3313454188
81,N,916670.69109273
82,N,916670.1232102916
83,N,916669.6195172964
84,N,916669.1727577535
85,N,916668.7764959356
