time,population,Conc
0,R,1e6
1,R,1.0094679121039398
2,R,1.0181969365682935
3,R,1.0261457364571895
4,R,1.033371623848894
5,R,1.0399281050279874
6,R,1.0458642922644978
7,R,1.0512255914315238
8,R,1.0560549793684442
9,R,1.0603944010385506
10,R,1.0642832617424596
11,R,1.067763770015333
12,R,1.070871829982671
13,R,1.0736445260180896
14,R,1.0761151849029313
15,R,1.0783150001760695
16,R,1.080272378379902
17,R,1.0820131059939457
18,R,1.0835604717692002
19,R,1.0849354378586755
20,R,1.0861568164615143
21,R,1.0872414592690065
22,R,1.0882044377808235
23,R,1.0890592145899212
24,R,1.0898178028048067
25,R,1.090490912984645
26,R,1.091088087986173
27,R,1.0916178252122306
28,R,1.0920876833482747
29,R,1.0925043878072211
30,R,1.092873919980436
31,R,1.093201592282579
32,R,1.0934921257678842
33,R,1.0937497131540999
34,R,1.0939780776140628
35,R,1.0941805244534553
36,R,1.0943599871429912
37,R,1.0945190688205015
38,R,1.0946600791770875
39,R,1.0947850672498916
40,R,1.0948958505789614
41,R,1.0949940411552623
42,R,1.0950810685401215
43,R,1.0951582004167726
44,R,1.0952265608334306
45,R,1.0952871464021332
46,R,1.095340840689422
47,R,1.0953884269897793
48,R,1.0954305997122717
49,R,1.095467974394572
50,R,1.0955010966537788
51,R,1.0955304501299923
52,R,1.0955564634943002
53,R,1.0955795166978015
54,R,1.0955999464973263
55,R,1.0956180513603253
56,R,1.0956340958136153
57,R,1.0956483142994171
58,R,1.0956609145941243
59,R,1.095672080839041
60,R,1.0956819762271206
61,R,1.0956907453847238
62,R,1.0956985164829212
63,R,1.0957054031089324
64,R,1.0957115059248896
65,R,1.095716914138072
66,R,1.0957217068040246
67,R,1.0957259539814446
68,R,1.095729717756133
69,R,1.095733053147784
70,R,1.0957360089141714
71,R,1.095738628263873
72,R,1.0957409494875934
73,R,1.0957430065179294
74,R,1.095744829425322
75,R,1.0957464448576137
76,R,1.0957478764295847
77,R,1.095749145068161
78,R,1.0957502693183354
79,R,1.0957512656142787
80,R,1.095752148519591
81,R,1.0957529309402114
82,R,1.0957536243130983
83,R,1.0957542387734307
84,R,1.0957547833027816
85,R,1.0957552658604266
86,R,1.095755693499704
87,R,1.0957560724711337
88,R,1.0957564083137985
89,R,1.0957567059363207
90,R,1.0957569696886242
91,R,1.0957572034255294
92,R,1.0957574105631065
93,R,1.0957575941286157
94,R,1.0957577568047636
95,R,1.0957579009689198
96,R,1.095758028727873
97,R,1.0957581419486278
98,R,1.0957582422856966
99,R,1.095758331205287
100,R,1.095758410006735
0,N,100
1,N,990619.797968799
2,N,982127.1922919977
3,N,974519.3714111866
4,N,967705.010212525
5,N,961603.8770041912
6,N,956145.9402854842
7,N,951269.5538774251
8,N,946919.3370346557
9,N,943044.4979327797
10,N,939597.8955149441
11,N,936535.7098850579
12,N,933817.4347654664
13,N,931405.9486362117
14,N,929267.5306798808
15,N,927371.7798018992
16,N,925691.4471546732
17,N,924202.2083261455
18,N,922882.4118892322
19,N,921712.8200986541
20,N,920676.3583361355
21,N,919757.8826870956
22,N,918943.9667984536
23,N,918222.7096680396
24,N,917583.5636279627
25,N,917017.1809909834
26,N,916515.278099867
27,N,916070.5149806093
28,N,915676.3866349044
29,N,915327.1278091675
30,N,915017.629657648
31,N,914743.3655397902
32,N,914500.3244510626
33,N,914284.9518894714
34,N,914094.0978327254
35,N,913924.9708804808
36,N,913775.0975272278
37,N,913642.2859112364
38,N,913524.5936720242
39,N,913420.299543448
40,N,913327.87822228
41,N,913245.9780754595
42,N,913173.4013544823
43,N,913109.0866613075
